ts_iso,timestamp,time,cycle,addr,pressure,unit,latency_s,source,status
2026-05-11T16:52:51.000094+03:00,1778507571.000094,1095.000078,220,1,100.503,kPa,3.528984,DPS8000,OK
2026-05-11T16:52:56.000091+03:00,1778507576.000091,1100.000075,221,1,100.502,kPa,3.491010,DPS8000,OK
2026-05-11T16:53:01.000094+03:00,1778507581.000094,1105.000078,222,1,100.488,kPa,3.491376,DPS8000,OK
2026-05-11T16:53:06.000094+03:00,1778507586.000094,1110.000078,223,1,100.507,kPa,3.491502,DPS8000,OK
2026-05-11T16:53:11.000095+03:00,1778507591.000095,1115.000079,224,1,100.505,kPa,3.528915,DPS8000,OK
2026-05-11T16:53:16.000092+03:00,1778507596.000092,1120.000076,225,1,100.507,kPa,3.491115,DPS8000,OK
2026-05-11T16:53:21.000091+03:00,1778507601.000091,1125.000075,226,1,100.507,kPa,3.491279,DPS8000,OK
2026-05-11T16:53:26.000093+03:00,1778507606.000093,1130.000077,227,1,100.507,kPa,3.491564,DPS8000,OK
2026-05-11T16:53:31.000089+03:00,1778507611.000089,1135.000073,228,1,100.508,kPa,3.486874,DPS8000,OK
2026-05-11T16:53:36.000090+03:00,1778507616.000090,1140.000074,229,1,100.508,kPa,3.491087,DPS8000,OK
2026-05-11T16:53:41.000092+03:00,1778507621.000092,1145.000076,230,1,100.509,kPa,3.491493,DPS8000,OK
2026-05-11T16:53:46.000094+03:00,1778507626.000094,1150.000078,231,1,100.507,kPa,3.491597,DPS8000,OK
2026-05-11T16:53:51.000091+03:00,1778507631.000091,1155.000075,232,1,100.508,kPa,3.490880,DPS8000,OK
2026-05-11T16:53:56.000091+03:00,1778507636.000091,1160.000075,233,1,100.492,kPa,3.541318,DPS8000,OK
2026-05-11T16:54:01.000090+03:00,1778507641.000090,1165.000074,234,1,100.494,kPa,3.491577,DPS8000,OK
